photon,S_n_records,S_path_length_m,S_min_r_m,S_bend_rad,F_n_records,F_path_length_m,F_min_r_m,F_bend_rad,delta_bend_rad
12,2,2.132766243014019e+25,9.257032743e+24,0.02033127321672433,2,1.8517078817344105e+25,9.257032743e+24,1.0323827311807144e-07,-0.020331169978451212
13,2,1.9326833968293281e+25,9.257032743e+24,0.0020063280328495537,2,1.8517078821994346e+25,9.257032743e+24,8.024520884654679e-08,-0.002006247787640707
14,2,1.960307947364288e+25,9.257032743e+24,0.003860582780588814,2,1.8517078821479489e+25,9.257032743e+24,8.161702118890975e-08,-0.0038605011635676253
15,2,1.901080063255629e+25,9.257032743e+24,0.000787192125190575,2,1.8517078819442605e+25,9.257032743e+24,6.322027276634106e-08,-0.0007871289049178087
16,2,1.9181224316415642e+25,9.257032743e+24,0.002666137903455339,2,1.8517078818568459e+25,9.257032743e+24,6.828569911354543e-08,-0.0026660696177562256
17,2,1.9025277971689998e+25,9.257032743e+24,0.0010617946731401385,2,1.8517078811881953e+25,9.257032743e+24,8.296615425989067e-08,-0.0010617117069858786
18,2,2.0004446002714004e+25,9.257032743e+24,0.009484700621724296,2,1.8517078811266112e+25,9.257032743e+24,8.560065398421929e-08,-0.009484615021070312
19,2,2.0004446002714017e+25,9.257032743e+24,0.009484700621689178,2,1.8517078816898457e+25,9.257032743e+24,6.989264130329237e-08,-0.009484630729047875
20,2,1.9025277971689942e+25,9.257032743e+24,0.0010617946731401385,2,1.8517078820026585e+25,9.257032743e+24,6.143906154658886e-08,-0.0010617332340785918
21,2,1.9181224316415664e+25,9.257032743e+24,0.002666137903455339,2,1.8517078821385064e+25,9.257032743e+24,5.771194914292421e-08,-0.0026660801915061962
22,2,1.8878296664125122e+25,9.257032743e+24,0.0004521173045043454,2,1.851707881893198e+25,9.257032743e+24,4.712160915387242e-08,-0.0004520701828951915
23,2,1.8996547416736448e+25,9.257032743e+24,0.0028840366762124137,2,1.851707881586983e+25,9.257032743e+24,5.16191365590357e-08,-0.002883985057075855
24,2,1.8888479166956072e+25,9.257032743e+24,0.0009284176913383453,2,1.8517078813490693e+25,9.257032743e+24,5.575503985246929e-08,-0.0009283619362984928
25,2,1.95289582468623e+25,9.257032743e+24,0.008738432225844445,2,1.8517078812464088e+25,9.257032743e+24,6.143906154658886e-08,-0.008738370786782898
26,2,1.9528958246862297e+25,9.257032743e+24,0.008738432225844445,2,1.8517078815965e+25,9.257032743e+24,5.372690074837192e-08,-0.008738378498943697
27,2,1.8888479166956115e+25,9.257032743e+24,0.000928417691218763,2,1.8517078819374796e+25,9.257032743e+24,4.942156062059701e-08,-0.0009283682696581423
28,2,1.8996547416736448e+25,9.257032743e+24,0.002884036676250909,2,1.8517078819734162e+25,9.257032743e+24,4.942156062059701e-08,-0.0028839872546902886
29,2,1.8802702029979397e+25,9.257032743e+24,0.0003108584900310989,2,1.8517078819473773e+25,9.257032743e+24,3.942476676500724e-08,-0.00031081906526433386
30,2,1.8892975678309427e+25,9.257032743e+24,0.0030396815882177573,2,1.8517078817842457e+25,9.257032743e+24,3.942476676500724e-08,-0.0030396421634509923
31,2,1.8810548527568094e+25,9.257032743e+24,0.0009143723238257161,2,1.851707881467258e+25,9.257032743e+24,4.2146848510894035e-08,-0.0009143301769772052
32,2,1.9282470700195532e+25,9.257032743e+24,0.008787754314160344,2,1.8517078814399287e+25,9.257032743e+24,4.942156062059701e-08,-0.008787704892599724
33,2,1.9282470700195537e+25,9.257032743e+24,0.00878775431414771,2,1.8517078817256071e+25,9.257032743e+24,4.2146848510894035e-08,-0.008787712167299198
34,2,1.8810548527568068e+25,9.257032743e+24,0.0009143723240685545,2,1.8517078819455313e+25,9.257032743e+24,3.942476676500724e-08,-0.0009143328993017895
35,2,1.889297567830941e+25,9.257032743e+24,0.003039681588254282,2,1.8517078820573435e+25,9.257032743e+24,3.332000937312528e-08,-0.0030396482682449088
36,2,1.875396542545153e+25,9.257032743e+24,0.00024438929760657916,2,1.851707882035919e+25,9.257032743e+24,3.6500241499888574e-08,-0.00024435279736507927
37,2,1.8826794115098044e+25,9.257032743e+24,0.0031206225549670927,2,1.8517078818837901e+25,9.257032743e+24,3.332000937312528e-08,-0.0031205892349577195
38,2,1.8760345495065988e+25,9.257032743e+24,0.0009161762512473601,2,1.8517078816204633e+25,9.257032743e+24,3.332000937312528e-08,-0.000916142931237987
39,2,1.913115374036877e+25,9.257032743e+24,0.008834073316047474,2,1.8517078815910396e+25,9.257032743e+24,3.6500241499888574e-08,-0.008834036815805975
40,2,1.9131153740368771e+25,9.257032743e+24,0.008834073316034906,2,1.851707881798357e+25,9.257032743e+24,3.332000937312528e-08,-0.008834039996025533
41,2,1.876034549506598e+25,9.257032743e+24,0.0009161762511261801,2,1.8517078820085583e+25,9.257032743e+24,2.9802322387695312e-08,-0.0009161464488037924
42,2,1.8826794115098036e+25,9.257032743e+24,0.0031206225549670927,2,1.8517078821045136e+25,9.257032743e+24,3.332000937312528e-08,-0.0031205892349577195
