photon,S_n_records,S_path_length_m,S_min_r_m,S_bend_rad,F_n_records,F_path_length_m,F_min_r_m,F_bend_rad,delta_bend_rad
0,2,1.727085376608768e+25,9.257032743e+24,1.551171777195356,2,1.8517078843016052e+25,9.257032743e+24,0.0,-1.551171777195356
1,2,2.0462075751866124e+25,9.257032743e+24,0.009900499563297069,2,1.8517078825583265e+25,9.257032743e+24,1.3244441773467654e-07,-0.009900367118879334
2,2,2.1579540202043096e+25,9.257032743e+24,0.030689707900102434,2,1.8517078797448805e+25,9.257032743e+24,5.489212410567431e-07,-0.03068915897886138
3,2,2.054324211352969e+25,9.257032743e+24,0.011435900785136772,2,1.8517078772661574e+25,9.257032743e+24,5.44453439308564e-07,-0.011435356331697464
4,2,1.3116447018997973e+26,9.257032743e+24,0.623891044720548,2,1.851707878404211e+25,9.257032743e+24,5.107860714496015e-07,-0.6238905339344766
5,2,1.3116447019016027e+26,9.257032743e+24,0.6238910447210977,2,1.8517078828366664e+25,9.257032743e+24,1.34110450744629e-07,-0.6238909106106469
6,2,2.0543242113529695e+25,9.257032743e+24,0.011435900785156189,2,1.8517078826149482e+25,9.257032743e+24,1.3160349229466696e-07,-0.011435769181663894
7,2,2.1579540202043088e+25,9.257032743e+24,0.03068970790010605,2,1.8517078824527124e+25,9.257032743e+24,1.4057727354849297e-07,-0.0306895673228325
8,2,1.9301950732652399e+25,9.257032743e+24,0.0018615663587339254,2,1.8517078821348346e+25,9.257032743e+24,8.296615425989067e-08,-0.0018614833925796655
9,2,1.9603079473642847e+25,9.257032743e+24,0.003860582780617572,2,1.8517078818061158e+25,9.257032743e+24,1.0745380149674388e-07,-0.003860475326816075
10,2,1.932683396829329e+25,9.257032743e+24,0.0020063280328495537,2,1.8517078809369418e+25,9.257032743e+24,1.3160349229466696e-07,-0.002006196429357259
11,2,2.132766243014012e+25,9.257032743e+24,0.020331273216707947,2,1.8517078812020102e+25,9.257032743e+24,1.2818463544611084e-07,-0.0203311450320725
