photon,S_n_records,S_path_length_m,S_min_r_m,S_bend_rad,F_n_records,F_path_length_m,F_min_r_m,F_bend_rad,delta_bend_rad
28,2,1.960002554957049e+25,9.257032743e+24,0.0055759396070636045,2,1.852210108141079e+25,9.257032743e+24,4.712160915387242e-08,-0.005575892485454451
29,2,1.912868749876555e+25,9.257032743e+24,0.001296971985045498,2,1.8522101081149164e+25,9.257032743e+24,3.942476676500724e-08,-0.001296932560278733
30,2,1.9342218959448486e+25,9.257032743e+24,0.005676891584144277,2,1.8522101079498447e+25,9.257032743e+24,3.942476676500724e-08,-0.0056768521593775125
31,2,1.9146766982519277e+25,9.257032743e+24,0.002021061081786591,2,1.8522101076328886e+25,9.257032743e+24,4.2146848510894035e-08,-0.0020210189349380804
32,2,2.0414293210838634e+25,9.257032743e+24,0.019171080240786138,2,1.8522101076027772e+25,9.257032743e+24,4.942156062059701e-08,-0.019171030819225516
33,2,2.041429321083868e+25,9.257032743e+24,0.019171080240774553,2,1.8522101078895831e+25,9.257032743e+24,4.4703483581542975e-08,-0.01917103553729097
34,2,1.9146766982519297e+25,9.257032743e+24,0.002021061081786591,2,1.8522101081120025e+25,9.257032743e+24,4.2146848510894035e-08,-0.0020210189349380804
35,2,1.9342218959448445e+25,9.257032743e+24,0.005676891584124721,2,1.8522101082238452e+25,9.257032743e+24,3.332000937312528e-08,-0.0056768582641153476
36,2,1.9018978228448503e+25,9.257032743e+24,0.0009599211705899499,2,1.8522101082041206e+25,9.257032743e+24,3.332000937312528e-08,-0.0009598878505805768
37,2,1.9185492070647517e+25,9.257032743e+24,0.005925901252720391,2,1.8522101080550467e+25,9.257032743e+24,3.332000937312528e-08,-0.005925867932711018
38,2,1.9033270130251297e+25,9.257032743e+24,0.0019070104365484014,2,1.852210107791522e+25,9.257032743e+24,3.6500241499888574e-08,-0.0019069739363069015
39,2,1.9965254022139525e+25,9.257032743e+24,0.01830341591804486,2,1.8522101077606791e+25,9.257032743e+24,3.942476676500724e-08,-0.018303376493278095
40,2,1.996525402213953e+25,9.257032743e+24,0.018303415918038794,2,1.8522101079679016e+25,9.257032743e+24,3.942476676500724e-08,-0.01830337649327203
41,2,1.9033270130251288e+25,9.257032743e+24,0.0019070104364901832,2,1.8522101081785552e+25,9.257032743e+24,2.9802322387695312e-08,-0.0019069806341677955
42,2,1.9185492070647533e+25,9.257032743e+24,0.005925901252720391,2,1.852210108275031e+25,9.257032743e+24,3.332000937312528e-08,-0.005925867932711018
