photon,S_n_records,S_path_length_m,S_min_r_m,S_bend_rad,F_n_records,F_path_length_m,F_min_r_m,F_bend_rad,delta_bend_rad
0,2,1.8522101130001087e+25,9.257032743e+24,0.0,2,1.8522101104700534e+25,9.257032743e+24,0.0,0.0
1,2,2.6607825860004964e+25,9.257032743e+24,0.0908017199134243,2,1.852210108725717e+25,9.257032743e+24,1.3160349229466696e-07,-0.090801588309932
2,2,0.0,nan,0.0,2,1.8522101059113092e+25,9.257032743e+24,5.491234592404517e-07,5.491234592404517e-07
3,2,2.7574566047234503e+25,9.257032743e+24,0.11872138742372047,2,1.852210103431722e+25,9.257032743e+24,5.442494859620899e-07,-0.11872084317423451
4,2,0.0,nan,0.0,2,1.8522101045698977e+25,9.257032743e+24,5.110033809984455e-07,5.110033809984455e-07
5,2,0.0,nan,0.0,2,1.8522101090045002e+25,9.257032743e+24,1.332800374925012e-07,1.332800374925012e-07
6,2,2.7574566047234834e+25,9.257032743e+24,0.11872138742373547,2,1.8522101087832789e+25,9.257032743e+24,1.3160349229466696e-07,-0.11872125582024318
7,2,0.0,nan,0.0,2,1.8522101086206168e+25,9.257032743e+24,1.4057727354849297e-07,1.4057727354849297e-07
8,2,2.0445756962139165e+25,9.257032743e+24,0.009869887284706535,2,1.852210108302068e+25,9.257032743e+24,8.161702118890975e-08,-0.009869805667685347
9,2,2.1539387354140764e+25,9.257032743e+24,0.027792085215240955,2,1.8522101079774622e+25,9.257032743e+24,1.0641557616804321e-07,-0.027791978799664788
10,2,2.0525467526339148e+25,9.257032743e+24,0.011048171884746575,2,1.8522101071193845e+25,9.257032743e+24,1.3160349229466696e-07,-0.01104804028125428
11,2,1.1086255660113301e+26,9.257032743e+24,0.5587581325735885,2,1.8522101073778294e+25,9.257032743e+24,1.2818463544611084e-07,-0.5587580043889531
12,2,1.1086255660121297e+26,9.257032743e+24,0.5587581325738259,2,1.8522101079022226e+25,9.257032743e+24,1.0323827311807144e-07,-0.5587580293355527
13,2,2.0525467526339143e+25,9.257032743e+24,0.011048171884726477,2,1.852210108367462e+25,9.257032743e+24,8.161702118890975e-08,-0.011048090267705288
14,2,2.153938735414082e+25,9.257032743e+24,0.02779208521524495,2,1.8522101083152425e+25,9.257032743e+24,8.429369702178808e-08,-0.02779200092154793
15,2,1.963098406573772e+25,9.257032743e+24,0.003687051355297662,2,1.8522101081103436e+25,9.257032743e+24,5.960464477539064e-08,-0.0036869917506528868
16,2,2.0103307239373595e+25,9.257032743e+24,0.007932836696722036,2,1.8522101080222908e+25,9.257032743e+24,6.495265578539184e-08,-0.007932771744066251
17,2,1.9668881363102527e+25,9.257032743e+24,0.003991842882753219,2,1.8522101073535519e+25,9.257032743e+24,8.560065398421929e-08,-0.003991757282099235
18,2,2.3541464872405404e+25,9.257032743e+24,0.05047088307874852,2,1.8522101072913217e+25,9.257032743e+24,8.296615425989067e-08,-0.05047080011259426
19,2,2.354146487240546e+25,9.257032743e+24,0.05047088307875733,2,1.8522101078553984e+25,9.257032743e+24,6.989264130329237e-08,-0.05047081318611602
20,2,1.966888136310255e+25,9.257032743e+24,0.003991842882725407,2,1.8522101081688907e+25,9.257032743e+24,6.322027276634106e-08,-0.003991779662452641
21,2,2.0103307239373625e+25,9.257032743e+24,0.007932836696722036,2,1.8522101083050272e+25,9.257032743e+24,5.575503985246929e-08,-0.007932780941682184
22,2,1.9304541982243077e+25,9.257032743e+24,0.0019882996656340893,2,1.8522101080604722e+25,9.257032743e+24,4.712160915387242e-08,-0.0019882525440249356
23,2,1.9600025549570443e+25,9.257032743e+24,0.0055759396070636045,2,1.8522101077543398e+25,9.257032743e+24,5.16191365590357e-08,-0.005575887987927046
24,2,1.9329082213787307e+25,9.257032743e+24,0.002432706792905626,2,1.8522101075148966e+25,9.257032743e+24,6.143906154658886e-08,-0.0024326453538440792
25,2,2.126335876104155e+25,9.257032743e+24,0.023724925425195866,2,1.852210107403842e+25,9.257032743e+24,6.322027276634106e-08,-0.0237248622049231
26,2,2.1263358761041524e+25,9.257032743e+24,0.023724925425186505,2,1.852210107757571e+25,9.257032743e+24,5.372690074837192e-08,-0.023724871698285757
27,2,1.9329082213787294e+25,9.257032743e+24,0.002432706792905626,2,1.852210108104544e+25,9.257032743e+24,4.942156062059701e-08,-0.0024326573713450055
